French,English
histoire,history
police,police
pensais,thought
demande,request
genre,kind
frère,brother
mettre,to put
laisse,leash
eux,them
ville,city
parlé,speak
heures,hours
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
savais,knew
attention,Warning
voici,here is
pourrais,could
donner,give
type,type
leurs,their
donné,given
train,train
corps,body
endroit,place
façon,way
écoute,listen
dont,whose
main,hand
première,first
côté,side
pouvoir,power
tiens,here
matin,morning
venu,came
pardon,sorry
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
aimerais,would like to
aujourd'hui,today
cause,cause
espère,hope
parti,left
boulot,job
dirait,would say
terre,Earth
compte,account
fin,end
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
jouer,to play
bureau,office
